date,coldstart,naive,actual
2022-12-04,136.369358974359,120.52206730769231,223.41
2022-12-05,135.86065359477124,119.91196078431373,216.8
2022-12-06,135.93526666666668,119.84025,185.91
2022-12-07,136.5274829931973,120.20260204081632,145.29
2022-12-08,137.09270833333332,120.48723958333333,138.51
2022-12-09,138.02205673758866,121.3968085106383,152.74
2022-12-10,139.13869565217394,122.21527173913044,182.89
2022-12-11,139.22577777777778,122.13344444444442,221.52
2022-12-12,138.81757575757575,121.83869318181819,225.32
2022-12-13,139.27403100775192,122.23476744186047,170.65
2022-12-14,139.51309523809525,122.65672619047618,136.58
2022-12-15,138.89214285714283,122.16636904761906,139.49
2022-12-16,137.80253968253967,121.30749999999998,150.27
2022-12-17,138.04380952380953,121.47476190476189,187.91
2022-12-18,138.58190476190478,121.8370238095238,210.99
2022-12-19,139.11952380952383,122.2088095238095,205.58
2022-12-20,139.3934126984127,122.36833333333331,159.04
2022-12-21,140.06111111111113,122.77380952380952,134.57
2022-12-22,138.8780303030303,121.85528409090908,131.87
2022-12-23,138.26362962962963,121.33283333333331,247.04
2022-12-24,137.26855072463766,120.54141304347826,323.93
2022-12-25,136.08957446808512,119.64186170212768,378.63
2022-12-26,134.49430555555554,118.36213541666666,362.02
2022-12-27,133.09789115646257,117.1845918367347,295.33
2022-12-28,132.26833333333332,116.4771,141.47
2022-12-29,131.4850980392157,115.84950980392156,129.6
2022-12-30,130.36583333333337,114.82899038461538,155.39
2022-12-31,129.61433962264152,114.08165094339621,200.4
