method,coef_log,lift_pct,ci_lo_pct,ci_hi_pct,p_value,coef_log_price_ctrl,lift_pct_price_ctrl,ci_lo_price_ctrl,ci_hi_price_ctrl,p_value_price_ctrl,n_events,n_obs,mean_diff_log,t_stat,n_treatment_obs,n_control_obs
DiD,0.4169,51.72,48.85,54.64,0.0,0.0804,8.37,1.77,15.4,0.0122,200.0,13451.0,,,,
A/B,,43.71,40.68,46.8,0.0,,,,,,,,0.3626,33.431,3477.0,28563.0
