category,estimated_beta,eti_lo,eti_hi
15,-3.42,-4.4,-2.3
16,-11.66,-14.0,-9.4
17,-2.36,-3.0,-1.7
20,-0.89,-1.3,-0.51
21,-1.796,-2.0,-1.6
22,-1.956,-2.2,-1.7
23,2.36,-0.11,5.0
47,-3.45,-4.6,-2.4
71,-0.02,-0.61,0.57
72,-0.36,-1.1,0.33
79,-1.25,-2.1,-0.34
84,-1.639,-1.8,-1.5
85,-0.42,-1.2,0.31
