category,estimated_beta,eti_lo,eti_hi,true_beta,error
FOOD_1,-1.446,-1.5,-1.4,-1.3,-0.146
FOOD_2,-1.121,-1.2,-1.1,-1.1,-0.021
FOOD_3,-0.846,-0.89,-0.8,-0.9,0.054
HH_1,-0.556,-0.6,-0.52,-0.6,0.044
HH_2,-0.632,-0.67,-0.59,-0.5,-0.132
HH_3,-0.766,-0.8,-0.73,-0.7,-0.066
